RunId,RunStart,FlowFile,FlowPath,Status,ExitCode,DurationSec
"9f8b7932","2026-03-03T23:59:14","swipe_height.yaml","C:\Users\terxi\maestro-tests\onboarding\swipe_height.yaml","FAILED","1","57.07"
"20d43578","2026-03-04T00:00:14","swipe_height.yaml","C:\Users\terxi\maestro-tests\onboarding\swipe_height.yaml","PASSED","0","346.14"
"e66db426","2026-03-04T00:06:03","swipe_height.yaml","C:\Users\terxi\maestro-tests\onboarding\swipe_height.yaml","PASSED","0","391.47"
"b2576b93","2026-03-04T00:12:38","swipe_height.yaml","C:\Users\terxi\maestro-tests\onboarding\swipe_height.yaml","PASSED","0","328.66"
"2a1b4761","2026-03-04T00:18:09","swipe_height.yaml","C:\Users\terxi\maestro-tests\onboarding\swipe_height.yaml","PASSED","0","443.32"
"59c1eacf","2026-03-04T00:35:26","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","FAILED","1","9.27"
"1652d2f9","2026-03-04T00:35:38","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","FAILED","1","9.58"
"38bd8cd5","2026-03-04T00:35:51","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","FAILED","1","11.45"
"deab367b","2026-03-04T00:45:46","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","FAILED","1","9.36"
"5d68e3fd","2026-03-04T00:49:14","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","PASSED","0","124.6"
"0ea2232c","2026-03-04T00:51:22","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","PASSED","0","129.59"
"7c59dea5","2026-03-04T00:53:35","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","PASSED","0","129.15"
"cb570b3c","2026-03-04T00:55:48","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","PASSED","0","148.71"
"30a850c1","2026-03-04T00:58:21","at_birthday_or_relationship.yaml","C:\Users\terxi\maestro-tests\states\at_birthday_or_relationship.yaml","PASSED","0","149.36"
"b7c622a9","2026-03-04T01:03:37","swipe_height.yaml","C:\Users\terxi\maestro-tests\onboarding\swipe_height.yaml","PASSED","0","396.49"
"727fcf2a","2026-03-04T01:45:32","job_title_input.yaml","C:\Users\terxi\maestro-tests\onboarding\job_title_input.yaml","FAILED","1","297.67"
"3f6df663","2026-03-04T01:50:33","job_title_input.yaml","C:\Users\terxi\maestro-tests\onboarding\job_title_input.yaml","PASSED","0","369.34"
"a5d29839","2026-03-04T01:56:45","job_title_input.yaml","C:\Users\terxi\maestro-tests\onboarding\job_title_input.yaml","PASSED","0","371.27"
"b2bcb52e","2026-03-04T02:03:00","job_title_input.yaml","C:\Users\terxi\maestro-tests\onboarding\job_title_input.yaml","PASSED","0","380.07"
"b5d9fdd6","2026-03-04T02:09:23","job_title_input.yaml","C:\Users\terxi\maestro-tests\onboarding\job_title_input.yaml","FAILED","1","254.61"
